net,length_um
_14545_,140.92
_03826_,140.82
_16386_,140.8
_19388_,140.74
_22130_,140.66
_17463_,140.6
_23954_,140.6
delay_line\[31\]\[6\],140.44
_04771_,140.43
_22996_,140.4
_14082_,140.3
_06299_,140.26
_00040_,140.235
_03568_,139.98
_22090_,139.96
_10382_,139.78
_06266_,139.74
net720,139.525
_15658_,139.44
_16662_,139.4
_23533_,139.36
net639,139.305
_03191_,139.3
_22259_,139.24
net441,139.18
_25240_,139.01
_07516_,138.96
_19500_,138.96
net682,138.905
_01517_,138.9
_20896_,138.79
_24245_,138.74
net442,138.74
_10676_,138.58
_17903_,138.24
_03406_,138.12
_00381_,138.03
_04701_,137.97
_23124_,137.97
net688,137.945
_01529_,137.92
delay_line\[22\]\[5\],137.86
_04601_,137.8
_14865_,137.7
_10381_,137.65
net444,137.56
_02799_,137.54
_23117_,137.48
delay_line\[3\]\[10\],137.46
_10316_,137.4
_23811_,137.335
_22974_,137.24
_15678_,137.18
_20163_,136.98
net456,136.94
net428,136.75
_01293_,136.64
_21910_,136.51
net413,136.405
_15450_,136.38
_22746_,136.38
_23095_,136.26
delay_line\[20\]\[4\],136.09
net560,135.7
delay_line\[31\]\[5\],135.48
net1019,135.465
delay_line\[23\]\[15\],135.4
_08010_,135.26
_19983_,135.26
_03680_,135.22
_01512_,135.2
_01767_,134.98
_16403_,134.82
_09542_,134.715
_05844_,134.71
_00002_,134.685
_06586_,134.67
_12373_,134.61
_17937_,134.58
_15073_,134.56
_22742_,134.4
_03405_,134.38
delay_line\[0\]\[2\],134.22
delay_line\[29\]\[4\],134.14
_09455_,134.1
_18389_,134.02
delay_line\[0\]\[7\],133.88
_01282_,133.86
net440,133.82
_17312_,133.77
_20167_,133.74
_16751_,133.56
_15505_,133.5
delay_line\[7\]\[12\],133.34
net321,133.305
_18524_,133.26
_14930_,133.2
_20814_,133.02
_15580_,132.96
_22701_,132.92
_23246_,132.89
_00077_,132.82
_06271_,132.7
_04933_,132.6
net1117,132.525
_17565_,132.42
delay_line\[25\]\[13\],132.4
net323,132.34
_06157_,132.23
_21978_,131.98
net1054,131.765
_17242_,131.61
_19121_,131.56
_00834_,131.42
_07612_,131.38
_20350_,131.34
_09918_,131.32
_17901_,131.32
_00307_,131.245
delay_line\[3\]\[0\],131.22
delay_line\[13\]\[2\],131.085
_21900_,131.04
_19193_,130.96
_00310_,130.92
_05909_,130.89
_12151_,130.86
_18934_,130.34
_17340_,130.28
delay_line\[10\]\[10\],130.26
_07692_,130.16
_25159_,130.15
_19982_,130.08
_18483_,129.94
_04927_,129.9
net888,129.845
_15630_,129.84
delay_line\[13\]\[3\],129.795
_25215_,129.72
net291,129.7
_25287_,129.6
net445,129.46
_21034_,129.4
_15163_,129.3
net1135,129.285
delay_line\[19\]\[5\],129.14
_18318_,128.68
_10727_,128.64
_22097_,128.62
_07531_,128.48
_03464_,128.46
_02183_,128.44
_12874_,128.26
_17956_,128.16
_08589_,128.02
delay_line\[7\]\[7\],128.01
delay_line\[10\]\[5\],128
_09437_,127.96
_10935_,127.95
_17812_,127.8
_21904_,127.8
_14259_,127.72
_12878_,127.685
_18385_,127.65
delay_line\[31\]\[10\],127.63
_15637_,127.6
_03283_,127.56
_16110_,127.53
_08393_,127.5
net1108,127.445
_03999_,127.44
_18400_,127.3
net348,127.18
net737,127.145
delay_line\[22\]\[6\],127
_24435_,126.94
_23458_,126.58
_22362_,126.52
_12788_,126.44
_07184_,126.37
_13031_,126.32
_03341_,126.02
_22098_,125.98
_08767_,125.94
_00018_,125.845
_24622_,125.665
_22846_,125.52
_03570_,125.5
_06038_,125.2
_22440_,125.16
net1039,124.905
_06097_,124.865
_07611_,124.86
_20561_,124.82
_01040_,124.79
net820,124.785
delay_line\[20\]\[1\],124.76
_06043_,124.74
_24072_,124.74
_19102_,124.72
_04645_,124.64
_21255_,124.64
_16219_,124.495
_24227_,124.48
delay_line\[38\]\[10\],124.36
_00261_,124.34
_08877_,124.325
_13924_,124.3
_06325_,124.16
_16707_,124.12
_23539_,124.11
_18444_,124.02
_08395_,123.98
_19020_,123.98
_18166_,123.9
delay_line\[6\]\[3\],123.875
_19536_,123.84
_24225_,123.82
_24091_,123.76
_06445_,123.61
_06992_,123.4
_06372_,123.39
_21881_,123.36
_16050_,123.32
_11186_,123.3
_13310_,123.26
_10724_,123.255
_16937_,123.16
_00590_,123.12
_01441_,122.84
_03563_,122.76
delay_line\[14\]\[12\],122.76
_17395_,122.72
_03868_,122.7
_24143_,122.64
net378,122.525
_22527_,122.5
_02708_,122.36
_13833_,122.36
_22083_,122.34
delay_line\[28\]\[0\],122.26
_19336_,122.15
_10500_,121.96
delay_line\[29\]\[11\],121.96
_16420_,121.68
_13294_,121.58
_20295_,121.58
_20454_,121.58
_19530_,121.46
_19112_,121.36
_18098_,121.32
_03354_,121.3
_01952_,120.74
delay_line\[32\]\[11\],120.69
_18351_,120.605
_21596_,120.5
_21597_,120.495
_20438_,120.42
_03169_,120.4
_20502_,120.4
_08190_,120.34
